,class_tier_1,class_tier_2,class_tier_3,count_of_class
0,Stony Meteorites,Achondrites,Asteroidal Achondrites,1185
1,Stony Meteorites,Chondrites,Carbonaceous Chondrites,1267
2,Stony Meteorites,Chondrites,Enstatite Chondrites,442
3,Stony Meteorites,Achondrites,Lunar Meteorites,125
4,Iron Meteories,Magmatic Iron Meteorites,Magmatic Iron Meteorites,545
5,Stony Meteorites,Achondrites,Martian Meteorites,74
6,Stony-Iron Meteorites,Mesosiderites,Mesosiderites,144
7,Stony Meteorites,Chondrites,Minor Chondrites,66
8,Iron Meteorites,Non-Magmatic Iron Meteorites,Non-Magmatic Iron Meteorites,257
9,Stony Meteorites,Chondrites,Ordinary Chondrites,33591
10,Stony-Iron Meteorites,Pallasites,Pallasites,70
11,Stony Meteorites,Achondrites,Primitive Achondrites,91
12,Stony Meteorites,Chondrites,Ungrouped Achondrites,39
13,Stony Meteorites,Chondrites,Ungrouped Chondrites,11
14,Iron Meteorites,Ungrouped Iron Meteorites,Ungrouped Iron Meteorites,177
15,Stony Meteorites,Ungrouped Stony Meteorites,Ungrouped Stony Meteorites,30
